Index,Average,Standard Deviation
0.0,0.727706192,0.05890891067881883
1.0,0.727706192,0.05890891067881883
2.0,0.727706192,0.05890891067881883
3.0,0.745919862,0.05723248994359215
4.0,0.867783302,0.26580362532432705
5.0,0.8768809620000001,0.25733261779801836
10.0,1.031929152,0.28768696516949605
15.0,0.85144622,0.18753533648365472
20.0,0.792082038,0.11737731802840863
30.0,0.883889338,0.1666629600516511
40.0,0.9627554799999999,0.10925882088158191
50.0,0.8187602679999999,0.10896201183078615
60.0,0.9107409619999999,0.11342239614104516
70.0,0.9843788199999999,0.1200837036342134
80.0,0.9794187979999999,0.1405700449697787
90.0,1.1803978600000002,0.15418377472013847
100.0,1.107626632,0.10687923308587925
