Index,Average,Standard Deviation
0.0,460.863896,24.341736909482513
1.0,460.863896,24.341736909482513
2.0,460.863896,24.341736909482513
3.0,460.863896,24.341736909482513
4.0,460.863896,24.341736909482513
5.0,460.863896,24.341736909482513
10.0,460.863896,24.341736909482513
15.0,460.863896,24.341736909482513
20.0,460.863896,24.341736909482513
30.0,460.863896,24.341736909482513
40.0,460.863896,24.341736909482513
50.0,460.863896,24.341736909482513
60.0,460.863896,24.341736909482513
70.0,460.863896,24.341736909482513
80.0,460.863896,24.341736909482513
90.0,460.863896,24.341736909482513
100.0,460.863896,24.341736909482513
