Index,Average,Standard Deviation
0.0,79.69300000000001,6.257980607548249
1.0,79.1392696,5.483016063039231
2.0,80.2417868,3.798617956964999
3.0,80.6021964,4.857512226491811
4.0,81.700053,5.024647419482882
5.0,91.0392508,10.418075520461665
10.0,92.31177399999999,10.458479156364179
15.0,95.8105628,9.574924240165211
20.0,96.4827648,4.684428500526844
30.0,95.3692432,9.876900263293184
40.0,95.255649,3.570076166706252
50.0,97.838996,8.163037091148368
60.0,93.489532,2.3775464583759454
70.0,92.083067,0.9832869925998188
80.0,94.2013068,5.9830653490697685
90.0,92.023472,3.6535302792447775
100.0,96.341539,4.230865800996765
