Index,Average,Standard Deviation
0.0,0.75900424,0.1625986159322471
1.0,0.695833056,0.16714208069230843
2.0,0.6463894440000001,0.1676523507994805
3.0,0.6463894440000001,0.1676523507994805
4.0,0.661887906,0.15896407719487288
5.0,0.5901244600000001,0.08036947039594378
10.0,0.600321944,0.08667352618272932
15.0,0.656656686,0.13395470331721893
20.0,0.6531257399999999,0.129632185650418
30.0,0.642888078,0.05414558509727802
40.0,0.650438568,0.04487964308649854
50.0,0.6914297,0.03546742379072718
60.0,0.648155932,0.06351710330440405
70.0,0.648155932,0.06351710330440405
80.0,0.66677656,0.08332304177122579
90.0,0.672521554,0.09556100536727177
100.0,0.73344388,0.12323169366754903
