value_max_1,value_max_2,value_max_3,value_mean_1,value_mean_2,value_mean_3
0.054120565696308104,0.053518400594524465,0.04142714144062551,0.007581739271517798,0.0383803692507467,0.009911757471362545
0.019150856880857027,0.01129503275154443,0.031873535421712965,0.0017184722328533251,0.007825287704015978,0.014426198094861942
0.025028657674707782,0.040045544465038725,0.007687113633954395,0.006379511251306707,0.02660305268264551,0.014219228801944196
0.03842299318161222,0.041475908032291654,0.023049516806703023,0.007228618315470672,0.024105302157234054,0.012817076462889694
0.017437140815092535,0.0225904781061078,0.004723519634502093,0.014317526378420795,0.025354615413734127,0.01057402401359322
0.032203984254386364,0.019084581191548256,0.02403144710138836,0.004498421081761485,0.016181445035938245,0.016759407071817445
0.027015753753698604,0.010264827472762448,0.01059662907483526,0.009325067551910014,0.012416470378414347,0.00531015882578106
0.008589964533582435,0.03176948402372543,0.014773859520810994,0.010897324941394816,0.03693573328425365,0.004748294914573884
0.014828289052483545,0.02006122104948337,0.015533015499310566,0.00577455723836474,0.012676057123965717,0.0017874723980706771
0.012873872426233324,0.04795497763647688,0.013412783258187774,0.025237762997523953,0.0864309786440012,0.006371820197086377
0.017380031272629947,0.0291505171047102,0.0029261917274409246,0.008896761447784219,0.039119790208807514,0.0018954039180237052
0.005522212985833161,0.03185675729868887,0.006261786127345303,0.004489056900106136,0.03618562948586191,0.002791089542750367
0.011189941136665863,0.006086479405952306,0.007936109790341254,0.003745472455547577,0.03968512921140103,0.0011132055375464116
0.018534020829323577,0.05066389163916382,0.0065641395027002825,0.009059904521690528,0.05118259064902413,0.002961226859782169
0.008022412376293645,0.009545726838242407,0.0008058530633636551,0.008330861404051164,0.02502563779746923,0.0039260034552777425
0.006702823152360816,0.03005776155370998,0.0031528834216383622,0.005921779743311548,0.050805667099891365,0.006518647211523613
0.023624184078573522,0.028611360914323026,0.0005252896580929183,0.01750695764064413,0.04616748933770839,0.0025556281995285533
0.018105698541982344,0.01472802598032772,0.004471618772202801,0.00704189971593245,0.025706781392529562,0.003335810339250413
0.013462887423653348,0.013112740966694755,0.00715857446577616,0.005974303458029916,0.03725751309136337,0.0013125002599821507
0.012386265284726177,0.02239995056092071,0.0022138094490699147,0.015329776161533476,0.040000953380194416,0.001197361532928848
0.015215171216079623,0.030070472563454687,0.003908215732322842,0.003293493676521753,0.036453006460895374,0.0033268904587409613
0.009097494294011159,0.008834470770155594,0.0023832238502306392,0.005769664774138268,0.005218416698092621,0.004130787065802531
0.016525476966073392,0.03966569036673081,0.0028531450716541245,0.01540010118667834,0.06143422880385342,0.0019031325408523584
0.025920110153846255,0.014368842655184158,0.0032983524082361446,0.01662486519949707,0.014589761653626084,0.004716789275752356
0.0038976862750562864,0.00773640643959972,0.0010528829370490128,0.009782304916941277,0.050522576832165135,0.001810239280300862
0.011363032158343505,0.048815186665922786,0.0032537513016220156,0.009181731502234508,0.05150543187792887,0.003567255101043556
0.021684102816385085,0.0232277805237689,0.008426569157108682,0.013434855208772689,0.022572635915333105,0.004180224237083707
0.012001761823422127,0.03000385962821319,0.0006626227608941888,0.007468710378315978,0.030981007095688327,0.0011429220256653915
0.009520289589538308,0.039244820294785335,0.0015883146620794108,0.0037558467919096535,0.03901244519554156,0.001592198828465923
0.014572722777219455,0.02068722089188454,0.0017836102829069948,0.007790911192181144,0.018480218961650936,0.0018717448668061462
0.009776424742387149,0.010860991869431322,0.0032093437439308582,0.006524113867633196,0.014447249375696773,0.0012525649681677388
0.004747683626450892,0.014139385090633885,0.003726220568362573,0.004867845652954571,0.02227553437428559,0.001610633585248569
0.0045250876284330145,0.026393015455697184,0.0034453773047543666,0.010521100103834304,0.047571252687765714,0.0018828121564272175
0.018304275958718107,0.020523287979359407,0.004728086761840321,0.00442835016937968,0.02785386548851722,0.003341754727877337
0.012300621962736862,0.04014584401937929,0.0012701385210407202,0.009707543822476192,0.045803711834174775,0.0005178709645658116
0.0076985799961658465,0.016885034305095203,0.0005876810389631732,0.008844503997569081,0.02122264715758664,0.001340161919855812
0.018397319672897792,0.01957929071044956,0.0056304477898702805,0.00579074715106493,0.03660569703195963,0.005697789489387926
0.010249787055005054,0.008534647247785847,0.0009657160668656087,0.006866977302832665,0.008723065841469873,0.0013795329158804467
0.011634341978545909,0.049051145054382427,0.0012633520918380167,0.010532315912239854,0.05428616534811517,0.0014472401976708962
0.012244338751210764,0.029278926562266747,0.0023213077964840912,0.006214307357453229,0.03315968383220433,0.0007654752411623717
0.01467322300017729,0.020401713429810012,0.002064820204604493,0.004223432459289498,0.029511831086470482,0.002036503148116235
