Index,Average,Standard Deviation
0.0,237.24141600000002,21.09575496544232
1.0,241.534906,18.896175453719316
2.0,245.626688,13.973835178297184
3.0,239.45852399999998,19.218321349283972
4.0,246.70684399999996,19.479181130328456
5.0,245.021158,13.73815992927349
10.0,244.780152,17.930030273433896
15.0,234.197674,24.752647055446502
20.0,243.589222,12.237266737188342
30.0,235.12637999999998,14.235707251395693
40.0,233.21137600000003,17.788647290905068
50.0,237.71965799999998,9.89409759122963
60.0,236.46120200000001,13.03403741592665
70.0,238.269818,9.724716102392705
80.0,238.72293399999998,13.709256433771458
90.0,244.136974,7.412737230264128
100.0,234.819914,9.79645980801759
