Index,Average,Standard Deviation
0.0,442.984006,23.676270995046146
1.0,442.984006,23.676270995046146
2.0,442.984006,23.676270995046146
3.0,442.984006,23.676270995046146
4.0,442.984006,23.676270995046146
5.0,442.984006,23.676270995046146
10.0,442.984006,23.676270995046146
15.0,442.984006,23.676270995046146
20.0,442.984006,23.676270995046146
30.0,442.984006,23.676270995046146
40.0,442.984006,23.676270995046146
50.0,442.984006,23.676270995046146
60.0,442.984006,23.676270995046146
70.0,442.984006,23.676270995046146
80.0,442.984006,23.676270995046146
90.0,442.984006,23.676270995046146
100.0,442.984006,23.676270995046146
