Index,Average,Standard Deviation
0.0,240.637944,17.400233258456748
1.0,240.49176000000003,20.046632075498373
2.0,242.7558,15.654923229804737
3.0,241.470554,17.629100229441775
4.0,243.71355,20.33277785228472
5.0,245.953856,13.458761110730208
10.0,242.07230800000002,19.52828110098623
15.0,244.485046,10.060876848683927
20.0,243.238116,12.377573230013393
30.0,235.936334,13.055394484151906
40.0,235.452722,15.163902416091188
50.0,235.678824,10.36492952383295
60.0,236.806888,12.377039567543436
70.0,240.73080399999998,11.0396635815311
80.0,245.23524400000002,6.29866725865274
90.0,247.128728,8.007080442157173
100.0,238.169634,11.01429890985096
