Index,Average,Standard Deviation
0.0,86.0480472,7.845578001540444
1.0,86.4584598,1.3432652216432033
2.0,91.0893192,6.441519193455108
3.0,97.1565036,5.211955513456404
4.0,100.1048444,8.962442950854808
5.0,98.3934352,11.170560220284216
10.0,104.680641,6.95494816038078
15.0,110.42311399999998,1.4419303182414898
20.0,106.95551580000001,7.674701171576817
30.0,106.18502699999999,4.878769534058355
40.0,105.844442,6.511392643053861
50.0,107.36717100000001,5.98271561232723
60.0,107.27834800000001,6.292735765761659
70.0,100.6231528,8.001185757867104
80.0,103.8144658,7.569771475245903
90.0,104.437803,6.833658772329507
100.0,99.0275708,4.941024784738747
