Index,Average,Standard Deviation
0.0,460.863896,24.341736909482513
1.0,424.05194,51.20995311942668
2.0,432.22733200000005,54.9048825193583
3.0,437.702552,63.17538741257369
4.0,397.64811999999995,86.69241979746926
5.0,431.324534,60.7366223517619
10.0,418.9343379999999,37.990692586825745
15.0,358.83826,45.42375585666029
20.0,338.997256,40.241809543471874
30.0,392.098572,60.82167830915631
40.0,329.040024,80.6099712789098
50.0,355.189168,60.604716566345694
60.0,355.075518,83.28550442689638
70.0,361.51664199999993,104.04130626161832
80.0,342.403902,89.45420235234663
90.0,312.086208,38.83701394568712
100.0,337.18248,64.84765003786922
