Index,Average,Standard Deviation
0.0,79.4681358,5.556595148744685
1.0,84.29238799999999,3.858884103662093
2.0,86.54394500000001,4.187089782559532
3.0,90.51019099999999,4.888306567211596
4.0,90.57211279999999,4.682602724781952
5.0,90.919328,5.109675422119885
10.0,91.0599938,6.89374016012018
15.0,102.824134,4.80647650726642
20.0,103.9011588,2.67099016211849
30.0,109.36119999999998,5.273999596522548
40.0,107.7495758,6.971807285575711
50.0,110.018554,8.448079997070483
60.0,109.733005,5.005660804229549
70.0,109.49476120000001,6.42982076575621
80.0,110.67845700000001,4.229672362693832
90.0,105.92039480000001,5.099961122237161
100.0,102.20814399999999,4.6421929475695
