Index,Average,Standard Deviation
0.0,460.07381399999997,26.617518190527537
1.0,460.07381399999997,26.617518190527537
2.0,460.07381399999997,26.617518190527537
3.0,460.07381399999997,26.617518190527537
4.0,460.07381399999997,26.617518190527537
5.0,460.07381399999997,26.617518190527537
10.0,460.07381399999997,26.617518190527537
15.0,460.07381399999997,26.617518190527537
20.0,460.07381399999997,26.617518190527537
30.0,460.07381399999997,26.617518190527537
40.0,460.07381399999997,26.617518190527537
50.0,460.07381399999997,26.617518190527537
60.0,460.07381399999997,26.617518190527537
70.0,460.07381399999997,26.617518190527537
80.0,460.07381399999997,26.617518190527537
90.0,460.07381399999997,26.617518190527537
100.0,460.07381399999997,26.617518190527537
