Index,Average,Standard Deviation
0.0,239.534376,17.117419906596428
1.0,242.40557599999997,16.323122732540597
2.0,246.434586,12.524821999227944
3.0,251.41919,11.637036939790121
4.0,247.07301999999999,12.020608378112984
5.0,251.145104,14.676532268598868
10.0,241.281628,9.269090666065145
15.0,243.93118799999996,5.351715727253828
20.0,232.455458,10.269431368866348
30.0,223.61984199999998,18.888251889052516
40.0,197.741064,12.36873427923909
50.0,181.011308,15.675002386242118
60.0,157.393596,32.198215017499095
70.0,123.42342460000002,47.27778281946923
80.0,107.810266,54.5500162435164
90.0,76.581125,55.62090364705904
100.0,65.53396000000001,49.95917175979809
