Index,Average,Standard Deviation
0.0,228.668432,6.1605268162370646
1.0,227.719808,10.296215843521153
2.0,230.093926,10.845102945450726
3.0,238.520154,13.367072749152818
4.0,237.92915,8.762488058390714
5.0,236.71840400000002,12.93045425633083
10.0,231.824894,15.613536671994082
15.0,227.405562,16.732290828834408
20.0,226.12086000000005,14.387006146707519
30.0,214.69553000000002,13.700615681772844
40.0,198.82350399999999,11.962206564768225
50.0,186.04192600000002,17.23238855399634
60.0,159.587572,31.59355621086705
70.0,129.107188,48.583470027001326
80.0,106.66032719999998,58.396530203150185
90.0,76.93932520000001,55.452043052239674
100.0,50.081283,44.28709869943655
