Index,Average,Standard Deviation
0.0,452.24159799999995,55.263616981681686
1.0,423.5472040000001,54.76823445256442
2.0,417.821732,53.185097379455605
3.0,391.778694,80.1819165726803
4.0,362.624154,102.92921393283378
5.0,332.97571800000003,118.2547428145541
10.0,216.17140060000003,147.53504185108264
15.0,842.1795972000002,1506.4840178558666
20.0,835.6446778,1109.9803211613216
30.0,1348.270516,1751.9242485757627
40.0,876.9656947999999,1214.6766359260043
50.0,2712.3469830000004,4321.197804463618
60.0,1339.1755652,2518.0229912108384
70.0,1520.0726820000002,2234.9336608013678
80.0,1746.671008,3615.2581085752536
90.0,2818.888692,5363.082028635167
100.0,1295.860474,2163.867695195463
