Index,Average,Standard Deviation
0.0,79.4681358,5.556595148744685
1.0,81.70956960000001,1.804713970904598
2.0,87.61192299999999,6.282012164886022
3.0,91.3572744,6.617821080335661
4.0,97.0582378,8.444077082956039
5.0,99.126947,8.475793530360212
10.0,106.08673719999999,6.890201213627901
15.0,105.92375999999999,6.727114799546682
20.0,102.89154900000001,6.464147736334807
30.0,100.161582,4.230596565684841
40.0,103.97158440000001,5.100655169314848
50.0,99.730424,3.3105268544604787
60.0,103.7560768,5.604150666107483
70.0,102.9824918,5.787292839598574
80.0,102.88075599999999,5.7627321811132575
90.0,104.072194,5.61747056810572
100.0,103.63564699999999,6.847838243845717
