Index,Average,Standard Deviation
0.0,231.84512800000002,11.203695597381081
1.0,241.58765200000002,10.05645862693901
2.0,236.49836400000004,5.384947677623618
3.0,240.808056,9.502015650316732
4.0,237.810736,8.604567247285832
5.0,247.64096000000004,8.53575004073339
10.0,226.79837400000002,9.254670221136132
15.0,235.083038,7.672233119725709
20.0,232.788878,10.994092721759989
30.0,232.367036,7.35963372784706
40.0,233.420726,6.547473858915668
50.0,235.538762,9.544804979695288
60.0,245.69118600000002,6.501451986476862
70.0,235.293194,6.367886246165525
80.0,239.23955999999998,7.58669512242584
90.0,240.05221999999998,10.0903068765484
100.0,245.29386600000004,14.972565130390445
