Index,Average,Standard Deviation
0.0,79.4681358,5.556595148744685
1.0,81.82407359999999,1.8451357603725105
2.0,87.704806,6.444583343526871
3.0,91.4585594,6.48704821384326
4.0,98.33926199999999,9.648071412849637
5.0,96.075656,9.432925261689206
10.0,102.373538,5.217515266512976
15.0,104.08422,8.316777974352206
20.0,107.2498578,6.703966628924353
30.0,104.55176019999999,6.137004934708796
40.0,96.0320548,2.0703308207661344
50.0,102.09808699999999,4.50797975948828
60.0,98.0418848,3.0074101067044614
70.0,94.9864632,1.9648401808373526
80.0,97.7993668,5.1084897851565625
90.0,101.8833738,7.346327100074822
100.0,100.43394160000001,7.249821150908753
