Index,Average,Standard Deviation
0.0,78.78708180000001,5.610746500310219
1.0,82.20223080000001,1.8618280494123416
2.0,87.48207000000001,6.512093033088515
3.0,92.99963340000002,6.891299187224412
4.0,98.3499872,9.63697199024877
5.0,95.21809199999998,9.968519323611023
10.0,101.662072,6.200900214644321
15.0,99.454617,7.09517484081372
20.0,103.88277580000002,8.363154330680892
30.0,101.373189,6.833571970505904
40.0,97.883628,4.759992192483724
50.0,102.006141,4.570843709546849
60.0,97.809658,2.7217515926799773
70.0,97.0683392,5.098404018275773
80.0,97.06007579999999,5.54425628921414
90.0,101.4743378,7.649693368800565
100.0,97.43570360000001,5.535022696323971
