Index,Average,Standard Deviation
0.0,244.175275,17.773480069842126
1.0,255.75158000000002,15.821315261116885
2.0,251.408475,10.670632566170806
3.0,241.53637,11.135217781877914
4.0,247.7542125,11.22055257582571
5.0,248.5757575,5.575928276925629
10.0,248.397195,9.486490688398689
15.0,249.92634999999999,8.722759294013574
20.0,255.25759250000002,8.586364306391197
30.0,244.335275,12.642172100759627
40.0,246.10136749999998,13.887623104194926
50.0,245.24618750000002,19.154027856878262
60.0,246.726815,8.48715359171878
70.0,241.37285,9.172774083062325
80.0,239.71808750000002,8.671504680003276
90.0,235.13656749999998,11.788196936407145
100.0,235.4098275,15.344696889462124
