Index,Average,Standard Deviation
0.0,96.44127083333332,11.560205031127065
1.0,84.022708,3.95184030769286
2.0,86.4335608,3.519439909475734
3.0,91.3531472,5.6986629577857455
4.0,92.2623602,8.480369158911193
5.0,95.6133068,12.466391786521106
10.0,96.467005,9.533445164502707
15.0,105.80911599999999,9.059222435760368
20.0,103.703891,7.520276741385522
30.0,107.1578792,4.568061621063637
40.0,101.0787728,4.926927892276661
50.0,105.5577448,7.29323377993412
60.0,107.79467380000001,5.804705231128777
70.0,106.5369972,5.054859424804547
80.0,108.50104900000001,5.089529189919081
90.0,111.448728,1.5553602035047696
100.0,109.18295,3.453353981092354
