Index,Average,Standard Deviation
0.0,460.863896,24.341736909482513
1.0,433.66975199999996,68.09443051493636
2.0,964.009952,1102.4124915831562
3.0,705.131418,295.7449604258205
4.0,685.180482,320.504878088032
5.0,1028.69027,879.1550777932136
10.0,1664.294616,1717.9841943004785
15.0,1215.9480600000002,1246.3353448105515
20.0,1122.276084,1570.3381493635434
30.0,643.24807,768.5201854793559
40.0,564.039952,835.4101277121039
50.0,574.3154593,830.8986224270582
60.0,549.923462,840.7131983417025
70.0,681.2283862,908.4939876379395
80.0,536.9348548,847.9088976456025
90.0,586.8309476,998.339702221051
100.0,461.26621164,884.2433139003457
